customer_id,age,gender,city,signup_date,membership
10001,56,Female,Mumbai,2023-04-28,Silver
10002,46,Male,Delhi,2023-10-04,Silver
10003,32,Female,Mumbai,2023-08-08,Normal
10004,25,Male,Bangalore,2023-01-26,Normal
10005,38,Male,Pune,2024-06-04,Normal
10006,56,Male,Delhi,2023-01-10,Silver
10007,36,Male,Hyderabad,2024-01-13,Normal
10008,40,Male,Hyderabad,2024-08-06,Normal
10009,28,Female,Chennai,2023-06-01,Normal
10010,28,Male,Mumbai,2023-02-18,Normal
10011,41,Male,Delhi,2023-06-03,Silver
10012,53,Female,Chennai,2023-10-20,Normal
10013,57,Male,Delhi,2024-08-02,Gold
10014,41,Female,Mumbai,2023-02-19,Silver
10015,20,Female,Hyderabad,2024-06-14,Silver
10016,39,Female,Bangalore,2023-03-01,Normal
10017,19,Male,Hyderabad,2023-06-16,Normal
10018,41,Male,Chennai,2023-07-21,Normal
10019,47,Male,Pune,2023-05-26,Normal
10020,55,Female,Bangalore,2024-03-14,Normal
10021,19,Male,Chennai,2023-08-30,Normal
10022,38,Male,Mumbai,2024-08-03,Gold
10023,50,Male,Bangalore,2024-07-14,Silver
10024,29,Female,Chennai,2024-04-27,Silver
10025,39,Female,Mumbai,2023-04-18,Silver
10026,42,Male,Hyderabad,2023-08-14,Gold
10027,44,Male,Pune,2024-03-07,Gold
10028,59,Male,Mumbai,2024-02-23,Silver
10029,45,Male,Delhi,2024-03-30,Normal
10030,33,Female,Mumbai,2023-06-09,Silver
10031,32,Female,Mumbai,2024-06-06,Silver
10032,20,Female,Pune,2024-08-12,Gold
10033,54,Female,Delhi,2023-03-18,Normal
10034,24,Male,Chennai,2024-05-23,Silver
10035,38,Male,Chennai,2024-03-16,Silver
10036,26,Male,Mumbai,2023-09-11,Normal
10037,56,Female,Delhi,2023-11-16,Gold
10038,35,Male,Delhi,2023-09-20,Gold
10039,21,Female,Pune,2024-08-19,Silver
10040,42,Female,Hyderabad,2024-07-07,Gold
10041,31,Male,Chennai,2024-01-09,Gold
10042,26,Male,Pune,2023-06-16,Silver
10043,43,Male,Bangalore,2024-04-03,Normal
10044,19,Female,Chennai,2023-10-07,Normal
